Title,Cited by
A Comparison of Transforming the User Stories and Functional Requirements into UML Use Case Diagram,0
PURE: A Dataset of Public Requirements Documents,181
Towards a Corpus of Requirements Documents Enriched with Semantic Frame Annotations,8
An Algorithmic Approach for Generating Behavioral UML Models Using Natural Language Processing,7
An Automated Tool for Generating UML Models from Natural Language Requirements,152
Artificial Intelligence Techniques in Software Engineering for Automated Software Reuse and Design,41
A Systematic Literature Review on Using Natural Language Processing in Software Requirements Engineering,2
Automated Derivation of UML Sequence Diagrams from User Stories: Unleashing the Power of Generative AI vs. a Rule-Based Approach,0
Automatic Transformation of Natural to Unified Modeling Language: A Systematic Review,4
Extracting UML class diagrams from software requirements in Thai using NLP,19
From Requirements Engineering to UML using Natural Language Processing – Survey Study,3
Generating UML Class Diagram from Natural Language Requirements: A Survey of Approaches and Techniques,29
Generating UML Class Diagram using NLP Techniques and Heuristic Rules,37
Generating UML Use Case and Activity Diagrams Using NLP Techniques and Heuristics Rules,34
Leveraging NLP Techniques for Privacy Requirements Engineering in User Stories,5
Modeling Class Diagram using NLP in Object-Oriented Designing,18
Processing natural language software requirement specifications,118
Natural language processing in mining unstructured data from software repositories: a review,16
Automatic Transformation of User Stories into UML Use Case Diagrams using NLP Techniques,138
Object Oriented Software Modeling Using NLP Based Knowledge Extraction,85
Semi-automatic generation of UML models from natural language requirements,154
Text to software: developing tools to close the gaps in software engineering,28
Textual Requirement Analysis for UML Diagram Extraction by using NLP,39
UML @ Classroom: An Introduction to Object-Oriented Modeling,226
How-to conduct a systematic literature review: A quick guide for computer science research,153
Literature review as a research methodology: An overview and guidelines,10563
CodeXGLUE: A Machine Learning Benchmark Dataset for Code Understanding and Generation,769
Natural Language Requirements Processing: A 4D Vision,75
A sketch of an approach for discovering UML use-case diagrams from textual specifications of systems using a chatbot,1
A Novel Natural Language Processing (NLP) Approach to Automatically Generate Conceptual Class Model from Initial Software Requirements,11
From text-based system specifications to UML diagrams: A bridge between words and models,0
Towards an Automatic Extracting UML Class Diagram from System's Textual Specification,1
"A Comprehensive Investigation of BPMN Models Generation from Textual Requirements—Techniques, Tools and Trends",37
Sketch2Process: End-to-End BPMN Sketch Recognition Based on Neural Networks,9
Automatic generation of business process models from user stories,13
Extraction of UML class diagrams using deep learning: Comparative study and critical analysis,3
