Title,Q1,Q2,Q3,Q4,Q5,Total score
A Comparison of Transforming the User Stories and Functional Requirements into UML Use Case Diagram,yes,yes,yes,yes,yes,5
PURE: A Dataset of Public Requirements Documents,no,yes,yes,yes,yes,4
Towards a Corpus of Requirements Documents Enriched with Semantic Frame Annotations,no,partially,yes,yes,yes,3.5
An Algorithmic Approach for Generating Behavioral UML Models Using Natural Language Processing,yes,yes,yes,yes,yes,5
An Automated Tool for Generating UML Models from Natural Language Requirements,yes,partially,partially,yes,no,3
Artificial Intelligence Techniques in Software Engineering for Automated Software Reuse and Design,no,partially,partially,yes,yes,3
A Systematic Literature Review on Using Natural Language Processing in Software Requirements Engineering,partially,partially,yes,yes,yes,4
Automated Derivation of UML Sequence Diagrams from User Stories: Unleashing the Power of Generative AI vs. a Rule-Based Approach,yes,yes,yes,yes,yes,5
Automatic Transformation of Natural to Unified Modeling Language: A Systematic Review,yes,yes,yes,yes,yes,5
Extracting UML class diagrams from software requirements in Thai using NLP,yes,yes,yes,yes,yes,5
From Requirements Engineering to UML using Natural Language Processing – Survey Study,yes,yes,yes,yes,yes,5
Generating UML Class Diagram from Natural Language Requirements: A Survey of Approaches and Techniques,yes,yes,yes,yes,yes,5
Generating UML Class Diagram using NLP Techniques and Heuristic Rules,yes,yes,yes,partially,partially,4
Generating UML Use Case and Activity Diagrams Using NLP Techniques and Heuristics Rules,partially,partially,yes,yes,partially,3.5
Leveraging NLP Techniques for Privacy Requirements Engineering in User Stories,partially,yes,yes,yes,yes,4.5
Modeling Class Diagram using NLP in Object-Oriented Designing,yes,yes,partially,partially,partially,3.5
Processing natural language software requirement specifications,partially,partially,yes,partially,partially,3
Natural language processing in mining unstructured data from software repositories: a review,yes,yes,partially,partially,yes,4
Automatic Transformation of User Stories into UML Use Case Diagrams using NLP Techniques,yes,yes,yes,partially,partially,4
Object Oriented Software Modeling Using NLP Based Knowledge Extraction,yes,yes,partially,partially,partially,3.5
Semi-automatic generation of UML models from natural language requirements,yes,yes,partially,partially,partially,3.5
Text to software: developing tools to close the gaps in software engineering,yes,yes,yes,partially,partially,4
Textual Requirement Analysis for UML Diagram Extraction by using NLP,yes,yes,yes,partially,partially,4
UML @ Classroom: An Introduction to Object-Oriented Modeling,no,yes,no,no,no,1
CodeXGLUE: A Machine Learning Benchmark Dataset for Code Understanding and Generation,partially,partially,yes,yes,yes,4
Natural Language Requirements Processing: A 4D Vision,no,yes,partially,yes,partially,3
A sketch of an approach for discovering UML use-case diagrams from textual specifications of systems using a chatbot,,,,,,0
A Novel Natural Language Processing (NLP) Approach to Automatically Generate Conceptual Class Model from Initial Software Requirements,,,,,,0
From text-based system specifications to UML diagrams: A bridge between words and models,,,,,,0
Towards an Automatic Extracting UML Class Diagram from System's Textual Specification,,,,,,0
"A Comprehensive Investigation of BPMN Models Generation from Textual Requirements—Techniques, Tools and Trends",,,,,,0
Sketch2Process: End-to-End BPMN Sketch Recognition Based on Neural Networks,,,,,,0
Automatic generation of business process models from user stories,,,,,,0
Extraction of UML class diagrams using deep learning: Comparative study and critical analysis,,,,,,0
